# OpenTelemetry Metrics report: .csv, 4 fields # <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoads,1705942380869000000,1705942440869000000,0
FilePageCache.totalPageLoadsUs,1705942380869000000,1705942440869000000,0
DirectByteBufferAllocator.disposed,1705942380869000000,1705942440869000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1705942380869000000,1705942440869000000,0
DirectByteBufferAllocator.reclaimed,1705942380869000000,1705942440869000000,0
DirectByteBufferAllocator.misses,1705942380869000000,1705942440869000000,0
FlushQueue.tasksExecuted,1705942380869000000,1705942440869000000,396
AWTEventQueue.dispatchTimeMaxNs,1705942380869000000,1705942440869000000,3309567
NonBlockingReadAction.finalizedExecutionTimeUs,1705942380869000000,1705942440869000000,89157
FlushQueue.executionTimeMaxNs,1705942380869000000,1705942440869000000,843775
AWTEventQueue.eventsDispatched,1705942380869000000,1705942440869000000,459
FlushQueue.waitingTime90PNs,1705942380869000000,1705942440869000000,217087
NonBlockingReadAction.failedExecutionsCount,1705942380869000000,1705942440869000000,0
FlushQueue.queueSizeMax,1705942380869000000,1705942440869000000,1
NonBlockingReadAction.failedExecutionTimeUs,1705942380869000000,1705942440869000000,0
FlushQueue.waitingTimeMaxNs,1705942380869000000,1705942440869000000,1941503
FlushQueue.executionTime90PNs,1705942380869000000,1705942440869000000,153599
AWTEventQueue.dispatchTime90PNs,1705942380869000000,1705942440869000000,282623
FlushQueue.queueSizeAvg,1705942380869000000,1705942440869000000,0.050505050505050504
AWTEventQueue.dispatchTimeAvgNs,1705942380869000000,1705942440869000000,223225.51633986927
FlushQueue.waitingTimeAvgNs,1705942380869000000,1705942440869000000,163729.29292929292
FlushQueue.executionTimeAvgNs,1705942380869000000,1705942440869000000,71840.60606060606
FlushQueue.queueSize90P,1705942380869000000,1705942440869000000,0
NonBlockingReadAction.finalizedExecutionsCount,1705942380869000000,1705942440869000000,24
FileNameCache.totalMisses,1705942440869000000,1705942500867000000,0
FileNameCache.queries,1705942440869000000,1705942500867000000,518
FileNameCache.fastMisses,1705942440869000000,1705942500867000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1705942440869000000,1705942500867000000,0
FilePageCache.maxRegisteredFiles,1705942440869000000,1705942500867000000,654
FilePageCache.maxCacheSizeInBytes,1705942440869000000,1705942500867000000,302284800
FilePageCache.disposedBuffers,1705942440869000000,1705942500867000000,0
FilePageCache.capacityInBytes,1705942440869000000,1705942500867000000,524288000
StorageLockContext.competingThreads.90P,1705942440869000000,1705942500867000000,0
FilePageCache.pageFastCacheHits,1705942440869000000,1705942500867000000,2
FilePageCache.pageHits,1705942440869000000,1705942500867000000,0
StorageLockContext.competingThreads.max,1705942440869000000,1705942500867000000,0
StorageLockContext.competingThreads.avg,1705942440869000000,1705942500867000000,0.0
FilePageCache.uncachedFileAccess,1705942440869000000,1705942500867000000,0
FilePageCache.totalPageDisposalsUs,1705942440869000000,1705942500867000000,0
DirectByteBufferAllocator.hits,1705942440869000000,1705942500867000000,0
FilePageCache.pageLoads,1705942440869000000,1705942500867000000,0
FilePageCache.totalPageLoadsUs,1705942440869000000,1705942500867000000,0
DirectByteBufferAllocator.disposed,1705942440869000000,1705942500867000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1705942440869000000,1705942500867000000,0
DirectByteBufferAllocator.reclaimed,1705942440869000000,1705942500867000000,0
DirectByteBufferAllocator.misses,1705942440869000000,1705942500867000000,0
FlushQueue.tasksExecuted,1705942440869000000,1705942500867000000,395
AWTEventQueue.dispatchTimeMaxNs,1705942440869000000,1705942500867000000,3735551
NonBlockingReadAction.finalizedExecutionTimeUs,1705942440869000000,1705942500867000000,91849
FlushQueue.executionTimeMaxNs,1705942440869000000,1705942500867000000,557055
AWTEventQueue.eventsDispatched,1705942440869000000,1705942500867000000,450
FlushQueue.waitingTime90PNs,1705942440869000000,1705942500867000000,214015
NonBlockingReadAction.failedExecutionsCount,1705942440869000000,1705942500867000000,0
FlushQueue.queueSizeMax,1705942440869000000,1705942500867000000,1
NonBlockingReadAction.failedExecutionTimeUs,1705942440869000000,1705942500867000000,0
FlushQueue.waitingTimeMaxNs,1705942440869000000,1705942500867000000,856063
FlushQueue.executionTime90PNs,1705942440869000000,1705942500867000000,134143
AWTEventQueue.dispatchTime90PNs,1705942440869000000,1705942500867000000,303103
FlushQueue.queueSizeAvg,1705942440869000000,1705942500867000000,0.04050632911392405
AWTEventQueue.dispatchTimeAvgNs,1705942440869000000,1705942500867000000,220528.0
FlushQueue.waitingTimeAvgNs,1705942440869000000,1705942500867000000,156263.51392405064
FlushQueue.executionTimeAvgNs,1705942440869000000,1705942500867000000,65485.65063291139
FlushQueue.queueSize90P,1705942440869000000,1705942500867000000,0
NonBlockingReadAction.finalizedExecutionsCount,1705942440869000000,1705942500867000000,24
FileNameCache.totalMisses,1705942500867000000,1705942560861000000,0
FileNameCache.queries,1705942500867000000,1705942560861000000,516
FileNameCache.fastMisses,1705942500867000000,1705942560861000000,0
